date,district,so2,no2,rspm,spm,AQI,Rice_area,Rice_production,Rice_yield,Wheat_area,Wheat_production,Wheat_yield
1998-99,DELHI,17.1,31.64166667,198.1525898,281.4166667,281.4166667,7303,10799,1.478707381,31037,107729,3.470986242
1999-00,DELHI,18.3,33.725,198.1525898,281.8333333,281.8333333,8105,15279,1.885132634,33505,122058,3.64297866
2000-01,DELHI,16.925,35.875,198.1525898,264.5,264.5,6053,11420,1.886667768,27836,97927,3.517998276
2001-02,DELHI,13.05833333,39.33333333,198.1525898,236,236,6405,12063,1.883372365,26114,91660,3.509994639
2002-03,DELHI,10.25291829,37.7248062,129.5681818,354.1346939,354.1346939,6096,12907,2.117290026,19860,79718,4.013997986
2003-04,DELHI,9.664719848,43.4232244,134.2521008,346,346,6549,17909,2.734615972,18973,82893,4.36899805
2004-05,DELHI,10.20836502,48.43037037,164.2256809,385.496063,385.496063,8431,28216,3.346696715,18695,80800,4.322011233
2005-06,DELHI,10.038,45.0192,172.8717949,433.3846154,433.3846154,7506,21092,2.810018652,18279,79404,4.344001313
2006-07,DELHI,6.859836066,48.8484,176.3333333,407.408,407.408,7381,20815,2.82007858,17884,77885,4.355010065
2007-08,DELHI,8.458227848,60.76220472,223.5901639,467.9173228,467.9173228,7419,20946,2.823291549,17482,76222,4.360027457
