date,district,so2,no2,rspm,spm,AQI,Rice_area,Rice_production,Rice_yield,Wheat_area,Wheat_production,Wheat_yield
1998-99,LUCKNOW,25.80833333,28.38333333,190.4237407,342.6666667,342.6666667,55260,91065,1.647937025,81146,159930,1.970891972
1999-00,LUCKNOW,27.18333333,28.81666667,190.4237407,239.6666667,239.6666667,55490,94583,1.704505316,80848,204973,2.535288443
2000-01,LUCKNOW,28.23636364,30.32727273,190.4237407,263.4545455,263.4545455,51539,65347,1.267913619,95132,247809,2.604896355
2001-02,LUCKNOW,23.55,29.09166667,190.4237407,342.9166667,342.9166667,52460,90259,1.720529928,85715,213302,2.488502596
2002-03,LUCKNOW,18.03584082,28.0797823,190.4237407,278.3554174,278.3554174,40756,74304,1.823142605,84411,203626,2.41231593
2003-04,LUCKNOW,14.45766423,28.96386861,158.0410448,259.1934307,259.1934307,48397,102433,2.116515486,85337,198410,2.325017284
2004-05,LUCKNOW,13.64177778,31.40711111,201.1877934,432.8933333,432.8933333,52825,99033,1.87473734,84992,205682,2.420016002
2005-06,LUCKNOW,10.39377289,29.16886447,193.0808824,403.5201465,403.5201465,35499,68300,1.923997859,82078,194437,2.368929555
2006-07,LUCKNOW,8.709931507,32.56506849,192.5342466,401.8253425,401.8253425,48107,93520,1.943999834,84067,224459,2.670001308
2007-08,LUCKNOW,8.402419355,36.30931174,195.6827309,409.3253012,409.3253012,47542,87097,1.832001178,82853,213761,2.580003138
2008-09,LUCKNOW,8.523809524,36.33549784,201.7748918,422.1645022,422.1645022,56308,118810,2.110002131,83894,229032,2.730016449
2009-10,LUCKNOW,7.94556694,34.04899383,213.1555075,388.2631001,388.2631001,43551,95333,2.188996808,85135,226629,2.661995654
2010-11,LUCKNOW,8.076642336,32.97818182,189.0945455,334.6720256,334.6720256,48833,93320,1.911002805,83618,236473,2.828015499
