date,district,so2,no2,rspm,spm,AQI,Rice_area,Rice_production,Rice_yield,Wheat_area,Wheat_production,Wheat_yield
1998-99,AHMEDABAD,7.85,17.20833333,104.2004549,235,235,52200,72600,1.390804598,91600,138900,1.516375546
1999-00,AHMEDABAD,6.925,16.60833333,104.2004549,300,300,75100,78900,1.050599201,84000,114800,1.366666667
2000-01,AHMEDABAD,10.175,32.3,104.2004549,335.75,335.75,84100,37500,0.445897741,48700,78500,1.611909651
2001-02,AHMEDABAD,13.46666667,33.40833333,104.2004549,261.75,261.75,82000,144300,1.759756098,81000,103500,1.277777778
2002-03,AHMEDABAD,16.18798239,28.49636119,104.2004549,233.6117492,233.6117492,47500,39300,0.827368421,79500,107400,1.350943396
2003-04,AHMEDABAD,16.52057692,24.88211538,160.9837981,255.2755769,255.2755769,83200,197600,2.375,111400,182600,1.639138241
2004-05,AHMEDABAD,13.17945736,25.69418605,119.5271318,280.2364341,280.2364341,79000,176200,2.230379747,124300,218000,1.7538214
2005-06,AHMEDABAD,10.56681034,22.3137931,97.43347639,216.8583691,216.8583691,95800,238400,2.488517745,108000,191900,1.776851852
2006-07,AHMEDABAD,14.16462585,25.2792517,110.5254237,255.6271186,255.6271186,"100,100","186,900",1.86713286,132400,228900,1.728851964
2007-08,AHMEDABAD,12.54461078,20.49820359,96.38208955,244.1761194,244.1761194,"108,000","222,700",2.062037,150200,275600,1.834886818
2008-09,AHMEDABAD,15.83946588,21.11958457,99.63126844,221.6460177,221.6460177,96100,175500,1.826222685,140800,194600,1.382102273
2009-10,AHMEDABAD,17.00859599,22.38968481,106.5014327,190.050032,190.050032,89000,226300,2.542696629,91500,209500,2.289617486
2010-11,AHMEDABAD,14.87220447,28.34824281,87.39808917,147.6384561,147.6384561,113500,310300,2.7339207,230400,547600,2.376736111
2011-12,AHMEDABAD,13.38613861,26.20792079,92.75247525,94.25060575,94.25060575,133100,365600,2.7468069,189800,473900,2.496838778
