date,district,so2,no2,rspm,spm,AQI,Rice_area,Rice_production,Rice_yield,Wheat_area,Wheat_production,Wheat_yield
1998-99,KANPUR,20.41666667,16.76666667,199.3568196,467.0833333,467.0833333,37150,77053,2.07410498,102090,317626,3.111235185
1999-00,KANPUR,15.425,25.81666667,199.3568196,272.9166667,272.9166667,81418,182417,2.240499644,203576,666531,3.274113844
2000-01,KANPUR,20,17.575,199.3568196,437.0833333,437.0833333,79780,139920,1.753823013,209038,647014,3.095198002
2001-02,KANPUR,7.133333333,15.05833333,199.3568196,421.1666667,421.1666667,102651,199417,1.942669823,219787,723117,3.290080851
2002-03,KANPUR,5.554891028,16.95853399,199.3568196,332.5681247,332.5681247,83843,154159,1.838662739,217858,642237,2.947961516
2003-04,KANPUR,9.573033708,19.34082397,186.063197,302.7100372,302.7100372,36528,74896,2.050372317,98981,325992,3.293480567
2004-05,KANPUR,8.384771574,19.7161435,195.3270142,391.2533333,391.2533333,37165,71748,1.930526033,103011,265513,2.577520847
2005-06,KANPUR,6.869135802,20.95061728,187.271028,407.7659574,407.7659574,32279,64493,1.997986307,89745,250922,2.795944064
2006-07,KANPUR,6.793283582,23.94354244,196.3429752,452.3,452.3,30487,49480,1.622986847,89726,270138,3.01069924
2007-08,KANPUR,6.951136364,23.99962121,211.2921348,476.2134831,476.2134831,33909,63986,1.886991654,99847,266372,2.667801737
2008-09,KANPUR,7.676793249,31.07468354,211.2217742,485.4717742,485.4717742,34040,74003,2.174001175,101671,298443,2.935379803
2009-10,KANPUR,7.520648855,34.7821374,207.7702564,469.2780952,469.2780952,24103,55485,2.301995602,100134,295050,2.946551621
2010-11,KANPUR,7.683168317,38.56105611,204.7227723,399.4844782,399.4844782,31353,70638,2.252990144,101518,353250,3.479678481
