date,district,so2,no2,rspm,spm,AQI,Rice_area,Rice_production,Rice_yield,Wheat_area,Wheat_production,Wheat_yield
1998-99,Nashik,34.125,26.60833333,79.74807859,98.25,98.25,45600,57200,1.254385965,83900,112200,1.337306317
1999-00,Nashik,30.74,21.37,79.74807859,113.4,113.4,47800,57200,1.19665272,85700,122600,1.430571762
2000-01,Nashik,27.475,20.45,79.74807859,192.0833333,192.0833333,45600,39800,0.872807018,39400,44500,1.129441624
2001-02,Nashik,26.00833333,19.88333333,79.74807859,146.75,146.75,46600,56300,1.208154506,36800,48900,1.328804348
2002-03,Nashik,28.64961255,23.3251005,79.74807859,118.4614394,118.4614394,49100,43900,0.894093686,35000,49500,1.414285714
2003-04,Nashik,33.18481848,27.71617162,80.0330033,140.4455446,140.4455446,50600,66300,1.31027668,35500,41300,1.163380282
2004-05,Nashik,35.89393939,28.80740741,102.5257732,191.3169014,191.3169014,50800,70200,1.381889764,55600,81300,1.462230216
2005-06,Nashik,34.13381818,27.41745455,68.65818182,141.9191176,141.9191176,50300,58700,1.166998012,70600,116600,1.651558074
2006-07,Nashik,43.02597403,35.2474026,45.25649351,98.37987013,98.37987013,49000,49600,1.012244898,84100,137700,1.637336504
2007-08,Nashik,29.90635452,25.22073579,79.15384615,155.1973244,155.1973244,506,684,1.351778656,790,1490,1.886075949
2008-09,Nashik,22.9713355,29.24918567,89.63517915,164.0130293,164.0130293,51200,65800,1.28515625,71900,115900,1.611961057
2009-10,Nashik,21.26688103,25.35691318,74.24437299,138.3987138,138.3987138,48100,18800,0.390852391,73000,117900,1.615068493
2010-11,Nashik,25.54340836,27.56913183,89.53376206,141.62287,141.62287,59100,24000,0.406091371,75300,143700,1.908366534
